"";"Data";"0";"1";"3";"4";"5";"sum"
"1";"360050001001";0;0;0;0;1;1
"2";"360050002001";41;11;69;14;32;167
"3";"360050002002";94;19;77;34;36;260
"4";"360050002003";38;16;22;15;35;126
"5";"360050004001";28;4;34;9;34;109
"6";"360050004002";44;11;48;24;42;169
"7";"360050004003";10;51;23;8;14;106
"8";"360050004004";8;4;11;17;5;45
"9";"360050016001";34;2;1;0;0;37
"10";"360050016002";38;2;31;12;17;100
"11";"360050016003";8;0;2;0;0;10
"12";"360050016004";39;21;53;9;9;131
"13";"360050019001";100;27;74;13;52;266
"14";"360050019002";4;1;6;10;5;26
"15";"360050019003";18;7;67;4;37;133
"16";"360050019004";18;3;6;6;8;41
"17";"360050020001";47;5;66;5;22;145
"18";"360050020002";76;31;57;9;20;193
"19";"360050020003";75;10;3;7;4;99
"20";"360050020004";40;10;1;6;0;57
"21";"360050020005";135;2;1;1;0;139
"22";"360050020006";39;9;21;6;10;85
"23";"360050023001";183;4;5;0;1;193
"24";"360050023002";4;3;1;0;0;8
"25";"360050023003";71;7;1;0;3;82
"26";"360050024000";1;0;0;0;0;1
"27";"360050024001";13;17;1;1;3;35
"28";"360050025001";56;37;1;3;13;110
"29";"360050025002";403;7;0;1;2;413
"30";"360050025003";12;8;2;0;13;35
"31";"360050025004";45;2;3;1;5;56
"32";"360050025005";25;6;7;2;7;47
"33";"360050027011";47;2;14;6;2;71
"34";"360050027012";53;14;18;2;6;93
"35";"360050027021";37;5;8;1;8;59
"36";"360050027022";9;4;3;2;4;22
"37";"360050027023";46;10;10;1;10;77
"38";"360050027024";75;3;4;0;7;89
"39";"360050028001";31;15;27;4;19;96
"40";"360050028002";16;15;3;1;1;36
"41";"360050028003";5;3;0;0;0;8
"42";"360050028004";16;16;2;2;3;39
"43";"360050031001";28;15;32;4;52;131
"44";"360050033001";6;6;20;2;12;46
"45";"360050033002";54;6;2;0;9;71
"46";"360050033003";43;13;9;0;8;73
"47";"360050035001";60;14;23;2;21;120
"48";"360050035002";49;15;1;2;10;77
"49";"360050035003";35;16;13;4;28;96
"50";"360050037001";8;10;2;0;0;20
"51";"360050038001";162;7;34;27;11;241
"52";"360050039001";54;12;17;1;16;100
"53";"360050039002";22;7;15;6;26;76
"54";"360050039003";68;8;4;5;28;113
"55";"360050039004";30;2;17;0;17;66
"56";"360050039005";56;6;11;1;12;86
"57";"360050040011";20;15;42;4;20;101
"58";"360050041001";221;3;3;0;9;236
"59";"360050041002";63;8;33;1;26;131
