"";"Data";"0";"1";"3";"4";"5";"sum"
"1";"360050001001";1;0;15;0;13;29
"2";"360050002001";167;56;312;99;31;665
"3";"360050002002";143;261;404;288;66;1162
"4";"360050002003";97;20;106;104;30;357
"5";"360050004001";12;32;101;43;23;211
"6";"360050004002";70;47;195;83;48;443
"7";"360050004003";40;66;147;56;28;337
"8";"360050004004";35;13;64;25;6;143
"9";"360050016001";45;6;20;1;9;81
"10";"360050016002";33;12;169;46;29;289
"11";"360050016003";12;2;9;1;5;29
"12";"360050016004";48;37;156;89;19;349
"13";"360050019001";165;178;265;50;65;723
"14";"360050019002";2;1;32;5;14;54
"15";"360050019003";41;355;278;55;58;787
"16";"360050019004";13;96;46;8;14;177
"17";"360050020001";86;41;139;57;17;340
"18";"360050020002";72;118;166;97;16;469
"19";"360050020003";222;27;12;3;7;271
"20";"360050020004";28;215;8;0;0;251
"21";"360050020005";149;0;9;6;0;164
"22";"360050020006";83;9;82;8;18;200
"23";"360050023001";102;18;10;1;7;138
"24";"360050023002";61;1;5;1;1;69
"25";"360050023003";96;6;8;3;4;117
"26";"360050024000";0;2;5;1;5;13
"27";"360050024001";55;35;8;0;4;102
"28";"360050025001";58;27;11;0;45;141
"29";"360050025002";60;23;1;2;7;93
"30";"360050025003";37;26;6;0;18;87
"31";"360050025004";97;99;8;1;11;216
"32";"360050025005";17;20;34;3;8;82
"33";"360050027011";163;61;34;7;3;268
"34";"360050027012";66;201;28;7;23;325
"35";"360050027021";69;22;20;3;3;117
"36";"360050027022";19;21;20;3;18;81
"37";"360050027023";43;66;30;2;56;197
"38";"360050027024";616;60;9;0;11;696
"39";"360050028000";0;0;2;0;0;2
"40";"360050028001";31;78;196;35;27;367
"41";"360050028002";56;66;26;1;5;154
"42";"360050028003";11;0;3;0;0;14
"43";"360050028004";34;82;39;1;6;162
"44";"360050031001";201;111;195;40;42;589
"45";"360050033001";142;8;72;57;17;296
"46";"360050033002";65;28;29;9;5;136
"47";"360050033003";108;80;34;12;9;243
"48";"360050035001";68;63;172;25;32;360
"49";"360050035002";158;19;9;2;10;198
"50";"360050035003";119;283;77;9;41;529
"51";"360050037001";34;43;19;2;14;112
"52";"360050038001";273;19;188;97;11;588
"53";"360050039001";83;49;15;2;24;173
"54";"360050039002";61;51;46;22;36;216
"55";"360050039003";29;25;47;8;50;159
"56";"360050039004";27;22;82;14;27;172
"57";"360050039005";65;39;45;5;25;179
"58";"360050040011";42;27;187;33;14;303
"59";"360050041001";170;12;27;12;11;232
"60";"360050041002";186;83;127;23;48;467
"61";"360050041003";0;0;3;0;3;6
"62";"360050041004";307;84;17;4;16;428
"63";"360050042001";334;4;0;0;1;339
"64";"360050042002";176;20;4;0;6;206
"65";"360050042003";20;5;88;7;13;133
"66";"360050042004";9;4;8;6;4;31
"67";"360050042005";36;14;64;8;29;151
"68";"360050042006";1;4;13;3;2;23
"69";"360050042007";1;1;4;1;0;7
"70";"360050043001";230;72;64;7;52;425
"71";"360050043002";47;47;118;12;55;279
"72";"360050043003";109;95;54;4;11;273
"73";"360050043004";208;75;57;3;6;349
"74";"360050044001";97;8;6;5;6;122
"75";"360050044002";39;7;1;0;2;49
"76";"360050044003";62;6;103;6;15;192
"77";"360050044004";93;4;39;5;9;150
"78";"360050046001";76;32;35;44;23;210
"79";"360050048001";144;132;60;3;28;367
"80";"360050048002";66;73;98;16;35;288
"81";"360050050011";62;33;261;20;45;421
"82";"360050050012";166;54;29;2;147;398
"83";"360050050013";154;139;95;2;23;413
"84";"360050050014";143;31;30;10;19;233
"85";"360050050021";137;140;87;7;40;411
"86";"360050050022";52;27;19;3;14;115
"87";"360050050023";36;27;13;3;35;114
"88";"360050050024";100;42;10;0;22;174
"89";"360050051001";46;25;109;28;74;282
"90";"360050051002";207;70;96;31;64;468
"91";"360050051003";162;26;16;0;15;219
"92";"360050052001";37;15;270;33;35;390
"93";"360050052002";149;39;10;1;7;206
"94";"360050053001";199;13;7;0;15;234
"95";"360050053002";1;1;3;1;1;7
"96";"360050054001";22;4;60;1;28;115
"97";"360050054002";66;39;247;7;62;421
"98";"360050054003";37;24;200;31;46;338
"99";"360050054004";46;20;18;1;22;107
"100";"360050056001";349;36;44;3;10;442
"101";"360050056002";4;0;31;2;2;39
"102";"360050056003";34;15;148;11;20;228
"103";"360050059021";44;13;34;2;25;118
"104";"360050059022";7;18;76;0;8;109
"105";"360050060001";135;98;98;18;17;366
"106";"360050061001";0;4;42;1;13;60
"107";"360050061002";586;17;25;3;6;637
"108";"360050061003";5;8;97;0;3;113
"109";"360050062001";407;56;124;2;14;603
"110";"360050062002";74;12;208;2;6;302
"111";"360050062003";177;66;41;7;18;309
"112";"360050062004";98;49;30;13;37;227
"113";"360050062005";5;7;7;3;1;23
"114";"360050063001";47;62;16;2;29;156
"115";"360050063002";73;124;154;49;116;516
"116";"360050063003";86;311;35;2;29;463
"117";"360050063004";143;194;3;1;5;346
"118";"360050063005";68;149;34;8;27;286
"119";"360050063006";365;335;190;10;91;991
"120";"360050064001";54;19;236;7;33;349
