"";"Data";"0";"1";"3";"4";"5";"sum"
"1";"360050002001";38;9;40;23;35;145
"2";"360050002002";58;9;47;28;34;176
"3";"360050002003";26;5;16;29;31;107
"4";"360050004001";6;3;15;19;36;79
"5";"360050004002";59;25;40;40;52;216
"6";"360050004003";18;26;22;7;17;90
"7";"360050004004";18;4;8;10;3;43
"8";"360050016001";24;6;2;2;5;39
"9";"360050016002";9;5;22;23;14;73
"10";"360050016003";4;2;2;0;2;10
"11";"360050016004";24;10;64;38;26;162
"12";"360050019001";23;10;54;18;37;142
"13";"360050019002";0;0;2;6;8;16
"14";"360050019003";25;13;56;28;48;170
"15";"360050019004";1;2;4;6;10;23
"16";"360050020001";16;7;59;13;31;126
"17";"360050020002";47;21;36;23;18;145
"18";"360050020003";70;3;0;10;0;83
"19";"360050020004";18;3;1;1;2;25
"20";"360050020005";28;0;1;0;0;29
"21";"360050020006";17;12;18;8;10;65
"22";"360050023001";174;0;1;0;4;179
"23";"360050023002";10;1;4;0;2;17
"24";"360050023003";22;1;0;0;1;24
"25";"360050024001";9;11;4;1;1;26
"26";"360050025001";115;33;0;0;16;164
"27";"360050025002";47;5;2;0;1;55
"28";"360050025003";29;3;1;0;15;48
"29";"360050025004";28;1;4;0;4;37
"30";"360050025005";9;13;10;0;3;35
"31";"360050027011";29;1;3;1;5;39
"32";"360050027012";49;8;2;0;6;65
"33";"360050027021";50;6;11;9;11;87
"34";"360050027022";3;17;1;0;3;24
"35";"360050027023";17;11;10;0;7;45
"36";"360050027024";26;3;2;0;4;35
"37";"360050028001";10;4;25;6;14;59
"38";"360050028002";10;7;1;2;1;21
"39";"360050028003";10;0;3;1;1;15
"40";"360050028004";12;6;5;0;0;23
"41";"360050031001";46;39;20;5;52;162
"42";"360050033001";6;8;24;3;15;56
"43";"360050033002";36;2;3;0;6;47
"44";"360050033003";20;8;8;1;7;44
"45";"360050035001";55;5;32;6;23;121
"46";"360050035002";62;10;1;2;2;77
"47";"360050035003";34;11;10;2;23;80
"48";"360050037001";4;16;3;0;3;26
"49";"360050038001";87;3;20;32;10;152
"50";"360050039001";15;6;19;0;2;42
"51";"360050039002";25;5;10;2;41;83
"52";"360050039003";17;8;5;3;20;53
"53";"360050039004";29;4;24;0;15;72
"54";"360050039005";59;6;12;1;21;99
"55";"360050040011";12;12;36;9;34;103
"56";"360050041001";18;2;2;0;13;35
"57";"360050041002";51;17;8;3;34;113
"58";"360050041003";1;8;1;0;1;11
"59";"360050041004";37;17;5;0;5;64
"60";"360050042001";1;2;2;0;1;6
"61";"360050042002";115;10;1;0;2;128
"62";"360050042003";9;2;15;1;4;31
"63";"360050042004";1;0;1;1;0;3
"64";"360050042005";6;2;4;5;6;23
"65";"360050042006";0;2;3;3;4;12
"66";"360050042007";12;0;0;0;0;12
"67";"360050043001";31;19;15;4;41;110
"68";"360050043002";19;7;9;2;36;73
"69";"360050043003";36;6;9;0;7;58
"70";"360050043004";13;6;4;4;7;34
"71";"360050044001";35;8;3;3;1;50
"72";"360050044002";14;3;0;0;3;20
"73";"360050044003";52;3;24;3;17;99
"74";"360050044004";31;5;5;0;2;43
"75";"360050046001";75;13;6;5;26;125
"76";"360050048001";591;27;1;1;20;640
"77";"360050048002";48;36;72;1;34;191
"78";"360050050011";42;41;39;0;19;141
"79";"360050050012";105;3;17;0;12;137
"80";"360050050013";52;3;6;0;9;70
"81";"360050050014";38;2;12;0;12;64
"82";"360050050021";64;13;4;1;26;108
"83";"360050050022";20;15;13;1;18;67
"84";"360050050023";18;17;5;0;20;60
"85";"360050050024";29;7;8;0;20;64
"86";"360050051001";8;20;33;10;15;86
"87";"360050051002";327;8;34;4;30;403
"88";"360050051003";29;3;5;0;2;39
"89";"360050052001";21;6;20;7;38;92
"90";"360050052002";61;8;2;1;10;82
"91";"360050053001";97;1;4;0;9;111
"92";"360050054001";20;9;29;0;46;104
"93";"360050054002";104;17;25;2;50;198
"94";"360050054003";30;160;39;12;37;278
"95";"360050054004";38;7;7;0;27;79
"96";"360050056001";55;2;7;0;5;69
"97";"360050056002";8;1;8;2;25;44
"98";"360050056003";25;12;38;10;27;112
"99";"360050059021";53;79;7;0;10;149
"100";"360050059022";1;4;7;2;2;16
"101";"360050060001";56;20;25;8;28;137
"102";"360050061001";2;1;3;0;1;7
"103";"360050061002";54;4;8;1;6;73
"104";"360050061003";2;17;8;5;3;35
"105";"360050062001";24;5;29;0;27;85
"106";"360050062002";114;4;6;1;7;132
"107";"360050062003";130;5;23;2;3;163
"108";"360050062004";53;8;1;0;32;94
"109";"360050062005";4;1;9;0;6;20
"110";"360050063001";44;25;8;1;11;89
"111";"360050063002";23;31;40;10;44;148
"112";"360050063003";31;28;9;1;24;93
"113";"360050063004";5;7;0;0;22;34
"114";"360050063005";60;6;7;0;16;89
"115";"360050063006";252;79;11;5;54;401
"116";"360050064001";38;3;35;3;65;144
"117";"360050064002";25;2;1;1;9;38
"118";"360050064003";5;1;10;0;7;23
"119";"360050064004";31;7;17;2;20;77
"120";"360050065001";118;9;7;0;26;160
"121";"360050065002";71;13;13;1;10;108
"122";"360050065003";52;7;5;5;26;95
"123";"360050065004";23;6;10;3;23;65
"124";"360050067001";49;11;21;3;33;117
"125";"360050067002";166;38;12;1;4;221
"126";"360050067003";33;20;0;1;0;54
"127";"360050067004";57;4;1;0;2;64
"128";"360050067005";21;14;0;0;5;40
"129";"360050067006";14;7;11;1;14;47
"130";"360050068001";39;12;17;2;10;80
"131";"360050068002";41;8;8;1;38;96
"132";"360050068003";45;16;28;4;19;112
"133";"360050069001";69;31;20;2;33;155
"134";"360050069002";92;9;46;4;32;183
"135";"360050069003";36;0;2;0;0;38
"136";"360050069004";32;0;0;0;1;33
"137";"360050070001";102;11;62;5;52;232
"138";"360050070002";157;71;6;2;48;284
"139";"360050070003";55;29;37;0;50;171
"140";"360050071001";11;11;29;1;16;68
"141";"360050071002";219;11;12;2;47;291
"142";"360050072001";57;7;39;2;32;137
"143";"360050072002";59;9;35;1;45;149
"144";"360050072003";45;31;19;3;37;135
"145";"360050072004";25;0;33;0;10;68
"146";"360050073001";64;16;2;2;17;101
"147";"360050073002";89;4;5;1;19;118
"148";"360050073003";35;8;7;1;6;57
"149";"360050074001";12;2;22;22;5;63
"150";"360050074002";57;19;11;23;22;132
"151";"360050074003";126;3;2;2;2;135
"152";"360050075001";26;4;47;5;23;105
"153";"360050075002";38;16;22;10;17;103
"154";"360050075003";162;2;2;0;5;171
"155";"360050075004";9;0;1;1;5;16
"156";"360050076001";5;3;3;1;6;18
"157";"360050076002";72;8;13;4;33;130
"158";"360050076003";6;1;9;1;13;30
"159";"360050076004";46;6;30;2;57;141
"160";"360050076005";15;5;21;3;44;88
"161";"360050077001";48;11;59;7;56;181
"162";"360050078001";26;3;31;2;32;94
"163";"360050078002";41;22;71;14;64;212
"164";"360050078003";21;20;9;1;15;66
"165";"360050078004";42;1;3;1;16;63
"166";"360050079001";30;13;7;2;56;108
"167";"360050079002";9;4;2;0;12;27
"168";"360050079003";23;4;0;4;13;44
"169";"360050079004";47;6;4;1;6;64
"170";"360050079005";15;3;3;0;0;21
"171";"360050079006";21;0;0;0;3;24
"172";"360050083001";24;3;7;0;52;86
"173";"360050083002";10;4;4;1;6;25
"174";"360050083003";45;8;5;0;3;61
"175";"360050083004";30;10;21;0;23;84
"176";"360050083005";17;22;5;4;13;61
"177";"360050083006";22;3;7;2;9;43
"178";"360050084001";21;2;16;7;6;52
"179";"360050084002";30;5;47;27;10;119
"180";"360050085001";22;5;14;2;18;61
"181";"360050085002";56;7;38;2;23;126
"182";"360050085003";9;3;8;2;15;37
"183";"360050085004";14;2;3;1;5;25
"184";"360050085005";56;8;1;0;5;70
"185";"360050086001";8;2;4;7;6;27
"186";"360050086002";22;5;2;4;0;33
"187";"360050086003";161;2;3;1;3;170
"188";"360050087001";19;13;4;3;17;56
"189";"360050087002";63;6;7;0;12;88
"190";"360050087003";20;8;18;1;7;54
"191";"360050087004";17;6;5;0;5;33
"192";"360050087005";52;3;6;0;9;70
"193";"360050089001";25;15;7;0;16;63
"194";"360050089002";53;5;7;1;4;70
"195";"360050090001";3;0;5;1;7;16
"196";"360050090002";4;4;16;9;3;36
"197";"360050090003";142;0;1;4;5;152
"198";"360050090004";11;2;42;22;27;104
"199";"360050090005";28;0;2;1;1;32
"200";"360050092001";28;4;20;0;32;84
"201";"360050092002";79;7;42;4;11;143
"202";"360050092003";46;15;53;7;63;184
"203";"360050092004";5;15;24;3;29;76
"204";"360050092005";69;3;39;5;6;122
"205";"360050093001";7;1;37;5;30;80
"206";"360050093002";62;14;17;1;32;126
"207";"360050093003";69;26;9;1;27;132
"208";"360050093004";165;38;11;3;24;241
"209";"360050093005";21;14;32;6;28;101
"210";"360050093006";4;11;28;27;34;104
"211";"360050096001";60;36;64;3;41;204
"212";"360050096002";13;27;43;29;55;167
"213";"360050098001";19;28;22;2;19;90
"214";"360050098002";5;7;24;4;10;50
"215";"360050098003";16;5;13;4;30;68
"216";"360050098004";11;3;17;3;12;46
"217";"360050098005";28;7;3;2;4;44
"218";"360050110001";18;4;8;6;13;49
"219";"360050115021";49;7;20;11;75;162
"220";"360050115022";133;14;34;0;34;215
"221";"360050115023";31;3;13;1;25;73
"222";"360050117001";59;12;8;1;31;111
"223";"360050117002";0;0;3;1;11;15
"224";"360050118001";1;1;16;9;32;59
"225";"360050118002";5;7;17;9;19;57
"226";"360050118003";40;13;29;20;20;122
"227";"360050119001";31;14;6;0;52;103
"228";"360050119002";24;5;8;0;10;47
"229";"360050119003";20;1;6;0;11;38
"230";"360050119004";24;7;1;3;4;39
"231";"360050119005";134;4;3;6;18;165
"232";"360050121011";61;18;13;7;16;115
"233";"360050121012";56;34;38;4;31;163
"234";"360050121021";50;23;15;4;57;149
"235";"360050123001";275;6;14;1;56;352
"236";"360050123002";18;1;31;2;21;73
"237";"360050123003";24;17;12;29;5;87
"238";"360050125001";111;14;48;3;87;263
"239";"360050125002";31;22;25;4;19;101
"240";"360050127011";37;2;4;0;31;74
"241";"360050127012";15;3;10;6;22;56
"242";"360050129011";14;21;18;10;75;138
"243";"360050129012";224;16;11;3;45;299
"244";"360050130001";1;2;55;6;16;80
"245";"360050131001";25;6;6;1;16;54
"246";"360050131002";35;14;30;7;50;136
"247";"360050131003";55;19;33;3;28;138
"248";"360050132001";44;5;26;4;16;95
"249";"360050132002";103;4;6;12;6;131
"250";"360050132003";23;2;21;19;31;96
"251";"360050132004";50;61;35;38;34;218
"252";"360050132005";15;11;25;7;18;76
"253";"360050133001";53;6;2;1;1;63
"254";"360050133002";21;7;13;0;24;65
"255";"360050133003";12;2;1;0;0;15
"256";"360050133004";82;3;2;0;2;89
"257";"360050135001";58;9;11;0;25;103
"258";"360050135002";50;3;1;0;0;54
"259";"360050135003";71;12;60;1;36;180
"260";"360050138001";6;1;27;18;17;69
"261";"360050138002";85;8;26;14;19;152
"262";"360050141001";31;14;6;3;21;75
"263";"360050141002";32;9;3;0;17;61
"264";"360050141003";63;19;13;2;21;118
"265";"360050143001";140;5;27;5;26;203
"266";"360050144001";10;1;1;0;3;15
"267";"360050144002";11;0;1;0;1;13
"268";"360050144003";56;5;1;1;2;65
"269";"360050144004";25;1;1;0;0;27
"270";"360050144005";120;10;34;7;15;186
"271";"360050144006";59;7;47;11;13;137
"272";"360050145001";118;5;6;1;11;141
"273";"360050145002";23;8;0;0;1;32
"274";"360050145003";19;12;10;6;11;58
"275";"360050145004";41;3;14;18;44;120
"276";"360050147011";112;1;3;0;2;118
"277";"360050147012";25;0;10;2;3;40
"278";"360050147013";190;2;4;0;1;197
"279";"360050147021";45;0;0;1;0;46
"280";"360050147022";60;7;6;2;9;84
"281";"360050147023";242;0;1;0;1;244
"282";"360050147024";50;1;0;0;3;54
"283";"360050149001";34;3;36;4;20;97
"284";"360050149002";26;9;30;1;19;85
"285";"360050149003";147;3;7;0;22;179
"286";"360050151001";31;18;7;0;23;79
"287";"360050151002";16;155;5;3;11;190
"288";"360050151003";36;7;37;0;23;103
"289";"360050151004";49;8;14;5;54;130
"290";"360050152001";7;5;35;21;31;99
"291";"360050152002";10;28;26;29;53;146
"292";"360050153001";61;292;30;15;21;419
"293";"360050153002";34;265;4;0;8;311
"294";"360050153003";25;12;44;2;17;100
"295";"360050155001";23;7;6;1;14;51
"296";"360050155002";18;4;12;3;23;60
"297";"360050157001";53;7;45;7;26;138
"298";"360050157002";50;9;11;5;28;103
"299";"360050157003";51;5;30;4;25;115
"300";"360050158001";20;84;52;30;25;211
"301";"360050159001";40;5;1;0;30;76
"302";"360050159002";139;5;6;1;20;171
"303";"360050160001";14;2;29;15;42;102
"304";"360050160002";0;0;25;9;6;40
"305";"360050160003";0;1;16;14;7;38
"306";"360050160004";1;2;22;6;12;43
"307";"360050161001";33;16;8;6;17;80
"308";"360050161002";78;13;24;1;17;133
"309";"360050161003";43;3;4;1;3;54
"310";"360050161004";48;14;3;0;10;75
"311";"360050162001";8;5;16;1;8;38
"312";"360050162002";0;2;50;13;8;73
"313";"360050163001";3;0;3;4;4;14
"314";"360050164001";5;8;22;5;17;57
"315";"360050165001";19;13;10;16;21;79
"316";"360050166001";34;18;61;29;25;167
"317";"360050166002";19;1;24;10;16;70
"318";"360050167001";3;5;10;3;3;24
"319";"360050167002";27;8;24;42;30;131
"320";"360050169001";16;7;20;5;12;60
"321";"360050171001";107;4;15;3;12;141
"322";"360050173001";71;14;16;2;9;112
"323";"360050173002";13;3;13;0;14;43
"324";"360050173003";53;8;11;9;20;101
"325";"360050173004";32;8;11;5;3;59
"326";"360050175001";29;5;6;1;13;54
"327";"360050175002";34;6;0;1;8;49
"328";"360050175003";28;8;0;0;3;39
"329";"360050175004";229;13;9;0;14;265
"330";"360050175005";12;3;1;0;2;18
"331";"360050175006";18;1;4;0;1;24
"332";"360050177011";59;14;33;4;26;136
"333";"360050177012";56;5;2;0;33;96
"334";"360050177013";62;2;11;3;16;94
"335";"360050177021";28;3;19;5;7;62
"336";"360050177022";30;9;41;3;47;130
"337";"360050177023";62;7;56;6;25;156
"338";"360050177024";54;5;1;1;4;65
"339";"360050179011";220;137;7;3;27;394
"340";"360050179012";51;4;0;0;1;56
"341";"360050179013";49;8;0;0;15;72
"342";"360050179021";43;6;11;0;10;70
"343";"360050179022";74;20;4;0;1;99
"344";"360050179023";28;23;3;0;9;63
"345";"360050181011";84;20;39;0;26;169
"346";"360050181012";21;0;0;0;1;22
"347";"360050181013";15;4;9;0;11;39
"348";"360050181021";62;6;5;0;9;82
"349";"360050181022";65;11;1;0;9;86
"350";"360050181023";44;19;6;1;15;85
"351";"360050181024";283;19;2;1;11;316
"352";"360050183011";57;21;15;1;12;106
"353";"360050183012";50;10;15;0;15;90
"354";"360050183013";144;22;9;0;12;187
"355";"360050183021";87;12;14;2;13;128
"356";"360050183022";38;5;5;1;8;57
"357";"360050183023";40;12;3;1;15;71
"358";"360050184001";0;0;21;7;10;38
"359";"360050184002";18;41;34;19;51;163
"360";"360050184003";13;10;45;17;21;106
"361";"360050184004";4;18;30;3;24;79
"362";"360050185001";92;19;47;40;73;271
"363";"360050185002";24;3;20;10;11;68
"364";"360050185003";164;10;41;26;38;279
"365";"360050185004";48;4;6;1;3;62
"366";"360050185005";43;0;20;3;26;92
"367";"360050189001";71;8;26;6;17;128
"368";"360050189002";22;19;8;0;6;55
"369";"360050189003";115;10;16;2;15;158
