"";"Data";"0";"1";"3";"4";"5";"sum"
"1";"360050001001";0;4;3;0;21;28
"2";"360050002001";268;191;301;52;58;870
"3";"360050002002";270;364;345;173;65;1217
"4";"360050002003";92;126;103;46;50;417
"5";"360050004000";0;2;0;0;0;2
"6";"360050004001";25;20;234;11;21;311
"7";"360050004002";80;59;340;104;43;626
"8";"360050004003";184;1251;145;30;61;1671
"9";"360050004004";82;88;55;24;17;266
"10";"360050016001";15;10;4;6;19;54
"11";"360050016002";67;35;180;20;20;322
"12";"360050016003";9;16;37;0;24;86
"13";"360050016004";56;94;210;34;35;429
"14";"360050019001";318;263;348;44;106;1079
"15";"360050019002";3;7;13;2;15;40
"16";"360050019003";50;666;323;38;49;1126
"17";"360050019004";26;513;35;18;26;618
"18";"360050020001";190;58;296;14;48;606
"19";"360050020002";164;416;215;21;69;885
"20";"360050020003";191;124;55;11;32;413
"21";"360050020004";149;336;9;0;19;513
"22";"360050020005";115;2;29;0;3;149
"23";"360050020006";84;13;198;15;25;335
"24";"360050023001";66;21;28;1;44;160
"25";"360050023002";78;11;32;4;7;132
"26";"360050023003";70;20;38;2;18;148
"27";"360050024000";13;14;14;0;9;50
"28";"360050024001";31;256;30;6;78;401
"29";"360050025001";59;135;12;3;113;322
"30";"360050025002";35;20;12;1;13;81
"31";"360050025003";44;22;8;1;21;96
"32";"360050025004";81;48;14;3;44;190
"33";"360050025005";31;24;69;3;13;140
"34";"360050027011";315;249;35;4;93;696
"35";"360050027012";146;73;23;1;47;290
"36";"360050027021";101;23;40;6;12;182
"37";"360050027022";102;50;19;0;39;210
"38";"360050027023";45;60;65;5;55;230
"39";"360050027024";251;697;39;2;31;1020
"40";"360050028000";0;0;0;0;1;1
"41";"360050028001";163;236;263;12;52;726
"42";"360050028002";72;277;83;1;34;467
"43";"360050028003";35;3;7;0;1;46
"44";"360050028004";42;57;44;0;7;150
"45";"360050031001";483;383;278;67;108;1319
"46";"360050033001";48;57;61;54;19;239
"47";"360050033002";58;146;21;4;19;248
"48";"360050033003";96;128;71;22;40;357
"49";"360050035001";76;181;214;51;36;558
"50";"360050035002";110;91;22;11;26;260
"51";"360050035003";213;509;105;9;46;882
"52";"360050037001";41;150;17;0;43;251
"53";"360050038001";156;53;164;67;35;475
"54";"360050039001";36;126;27;2;158;349
"55";"360050039002";77;60;172;20;56;385
"56";"360050039003";103;55;47;6;30;241
"57";"360050039004";44;38;90;15;33;220
"58";"360050039005";150;176;62;1;49;438
"59";"360050040011";29;46;151;12;33;271
"60";"360050041001";336;42;59;7;39;483
"61";"360050041002";286;104;218;10;42;660
"62";"360050041003";0;7;6;1;2;16
"63";"360050041004";243;168;34;6;37;488
"64";"360050042001";197;3;1;1;9;211
"65";"360050042002";93;27;5;0;10;135
"66";"360050042003";159;46;60;2;25;292
"67";"360050042004";59;22;27;6;8;122
"68";"360050042005";35;31;43;14;25;148
"69";"360050042006";0;13;10;2;27;52
"70";"360050042007";41;6;2;0;2;51
"71";"360050043001";272;160;74;12;57;575
"72";"360050043002";63;36;81;4;60;244
"73";"360050043003";217;97;97;13;39;463
"74";"360050043004";267;175;105;1;31;579
"75";"360050044001";195;46;28;2;22;293
"76";"360050044002";70;18;4;0;2;94
"77";"360050044003";105;16;62;9;30;222
"78";"360050044004";114;116;45;10;16;301
"79";"360050046001";201;121;37;59;54;472
"80";"360050048001";270;263;39;4;48;624
"81";"360050048002";89;71;208;8;54;430
"82";"360050050011";101;203;304;14;35;657
"83";"360050050012";160;211;69;4;67;511
"84";"360050050013";95;348;87;3;171;704
"85";"360050050014";72;32;34;3;17;158
"86";"360050050021";181;559;224;18;52;1034
"87";"360050050022";177;45;86;3;23;334
"88";"360050050023";63;105;75;3;24;270
"89";"360050050024";66;21;35;3;32;157
"90";"360050051001";55;184;193;8;72;512
"91";"360050051002";203;136;149;14;83;585
"92";"360050051003";478;36;13;1;35;563
"93";"360050052001";138;318;251;74;39;820
"94";"360050052002";191;262;80;11;37;581
"95";"360050053001";283;24;7;0;25;339
"96";"360050053002";72;20;9;0;6;107
"97";"360050054001";109;55;100;5;50;319
"98";"360050054002";138;75;460;10;56;739
"99";"360050054003";62;94;160;27;28;371
"100";"360050054004";87;1019;25;21;63;1215
"101";"360050056001";219;134;53;3;19;428
"102";"360050056002";36;17;69;4;12;138
"103";"360050056003";84;134;70;6;17;311
"104";"360050059021";72;69;35;4;188;368
"105";"360050059022";22;333;68;8;35;466
"106";"360050060001";242;244;661;19;32;1198
"107";"360050061001";38;16;17;0;26;97
"108";"360050061002";55;84;8;0;13;160
"109";"360050061003";7;70;53;3;14;147
"110";"360050062001";778;83;148;5;55;1069
"111";"360050062002";33;6;10;2;3;54
"112";"360050062003";102;31;97;1;19;250
"113";"360050062004";101;307;47;1;22;478
